Job,Phase,Cost
25-002.STEP BY STEP - OGDENSBURG,01.GENERAL CONDITIONS,1010.SITE SUPERINTENDENT
25-002.STEP BY STEP - OGDENSBURG,01.GENERAL CONDITIONS,1150.SURVEY & GPS
25-002.STEP BY STEP - OGDENSBURG,01.GENERAL CONDITIONS,1200.SMALL TOOLS
25-002.STEP BY STEP - OGDENSBURG,01.GENERAL CONDITIONS,1210.SAFETY
25-002.STEP BY STEP - OGDENSBURG,01.GENERAL CONDITIONS,1300.FUEL - COMMODITY ONLY
25-002.STEP BY STEP - OGDENSBURG,01.GENERAL CONDITIONS,1700.TRAFFIC PROTECTION
25-002.STEP BY STEP - OGDENSBURG,01.GENERAL CONDITIONS,1800.EQUIPMENT EXPENSE
25-002.STEP BY STEP - OGDENSBURG,02.DEMO & ESC,2001.INSTALL/MAINT/REM SILT FENCE
25-002.STEP BY STEP - OGDENSBURG,02.DEMO & ESC,2002.INSTALL/REM CONST. ENTRANCE
25-002.STEP BY STEP - OGDENSBURG,02.DEMO & ESC,2003.INSTALL INLET PROTECTION
25-002.STEP BY STEP - OGDENSBURG,02.DEMO & ESC,2004.INSTALL/MAINT/REMOVE CONC. WAS
25-002.STEP BY STEP - OGDENSBURG,02.DEMO & ESC,2011.FURNISH ESC MAT'LS
25-002.STEP BY STEP - OGDENSBURG,02.DEMO & ESC,2500.DEMO LABOR
25-002.STEP BY STEP - OGDENSBURG,02.DEMO & ESC,2510.HAUL DEMO MAT'LS
25-002.STEP BY STEP - OGDENSBURG,02.DEMO & ESC,2600.DEMO LABOR - ROAD CUT ONLY
25-002.STEP BY STEP - OGDENSBURG,31.EARTHWORK,3102.CUT/FILL SITE
25-002.STEP BY STEP - OGDENSBURG,31.EARTHWORK,3103.EXCAVATE FOR STRUCTURES
25-002.STEP BY STEP - OGDENSBURG,31.EARTHWORK,3104.BACKFILL FOR STRUCTURES
25-002.STEP BY STEP - OGDENSBURG,31.EARTHWORK,3105.PREP FOR SOG
25-002.STEP BY STEP - OGDENSBURG,31.EARTHWORK,3106.EX FOR UNDSLAB PLUMBING
25-002.STEP BY STEP - OGDENSBURG,31.EARTHWORK,3121.EXPORT MAT'L
25-002.STEP BY STEP - OGDENSBURG,32.SITE IMPROVEMENTS,3201.PREP SUB-BASE FOR PAVEMENT
25-002.STEP BY STEP - OGDENSBURG,32.SITE IMPROVEMENTS,3202.PREP SUB-BASE FOR CURB
25-002.STEP BY STEP - OGDENSBURG,32.SITE IMPROVEMENTS,3203.PREP SUBBASE FOR SIDEWALKS
25-002.STEP BY STEP - OGDENSBURG,32.SITE IMPROVEMENTS,3204.PLACE TOPSOIL
25-002.STEP BY STEP - OGDENSBURG,32.SITE IMPROVEMENTS,3213.FURNISH GEOTEXTILE FABRIC
25-002.STEP BY STEP - OGDENSBURG,32.SITE IMPROVEMENTS,3223.LINESTRIPING SUBCONTRACTOR
25-002.STEP BY STEP - OGDENSBURG,32.SITE IMPROVEMENTS,3230.SEEDING SUBCONTRACTOR
25-002.STEP BY STEP - OGDENSBURG,33.SITE UTILITIES,3302.EX/LAY/BF STORM PIPE 6-12
25-002.STEP BY STEP - OGDENSBURG,33.SITE UTILITIES,3304.EX/SET/BF CATCH BASIN
25-002.STEP BY STEP - OGDENSBURG,33.SITE UTILITIES,3305.EX/SET/BF STORM MANHOLE
25-002.STEP BY STEP - OGDENSBURG,33.SITE UTILITIES,3306.EX/SET/BF INFILTRATION SYSTEM
25-002.STEP BY STEP - OGDENSBURG,33.SITE UTILITIES,"3321.EX/LAY/BF 8"" SANITARY LINE"
25-002.STEP BY STEP - OGDENSBURG,33.SITE UTILITIES,3324.CORE AND CONNECT SANITARY
25-002.STEP BY STEP - OGDENSBURG,33.SITE UTILITIES,"3341.EX/LAY/BF 4"" WATERLINE"
25-002.STEP BY STEP - OGDENSBURG,33.SITE UTILITIES,3346.TAPPING SUB
25-002.STEP BY STEP - OGDENSBURG,33.SITE UTILITIES,3347.CHLORINATION & DISINFECTION
25-002.STEP BY STEP - OGDENSBURG,33.SITE UTILITIES,3370.TRENCH/BF FOR ELECT.
25-002.STEP BY STEP - OGDENSBURG,33.SITE UTILITIES,3372.INSTALL TRANSFORMER VAULT
25-002.STEP BY STEP - OGDENSBURG,34.SITE FIXTURES,3401.INSTALL SIGNAGE
25-002.STEP BY STEP - OGDENSBURG,34.SITE FIXTURES,3402.INSTALL BOLLARDS
25-002.STEP BY STEP - OGDENSBURG,34.SITE FIXTURES,3403.INSTALL WHEEL STOPS
